,Loss,MSLE,MSE,MAPE
Keras,1.1810398348188755e-07,5.4028525653393444e-08,1.1810398348188755e-07,521.4979858398438
Keras,1.7465653456838481e-07,8.541603335743275e-08,1.7465653456838481e-07,1412.67236328125
Keras,3.932534013983968e-07,9.641502174417838e-08,3.932534013983968e-07,1630.8587646484375
Keras,3.9355685998998524e-07,1.039560828530739e-07,3.9355685998998524e-07,1570.581787109375
Keras,2.449545206673065e-07,8.388651906443556e-08,2.449545206673065e-07,1183.2254638671875
Keras,2.725122612901032e-06,2.55425493378425e-06,2.725122612901032e-06,2636.0869140625
Keras,8.836116194288479e-08,5.897584287595237e-08,8.836116194288479e-08,536.6148681640625
Keras,9.568007186544492e-08,7.137964530556928e-08,9.568007186544492e-08,481.99395751953125
Keras,1.5156733752519358e-06,7.891357256539777e-08,1.5156733752519358e-06,925.2449340820312
Keras,7.314308447803342e-08,6.43039612668872e-08,7.314308447803342e-08,54.130706787109375
Keras,6.63968435787865e-08,5.477537001752353e-08,6.63968435787865e-08,216.5414581298828
Keras,7.456187489651711e-08,5.920085044408552e-08,7.456187489651711e-08,254.120849609375
Keras,7.121882106275734e-08,5.8711709272074586e-08,7.121882106275734e-08,236.65640258789062
Keras,7.621262909651705e-08,6.27096596872434e-08,7.621262909651705e-08,57.01813507080078
Keras,9.963101632592952e-08,6.678920527747323e-08,9.963101632592952e-08,495.55908203125
Keras,7.905291710130768e-08,6.726948242885555e-08,7.905291710130768e-08,314.67254638671875
Keras,8.014268360057031e-08,6.392580331748832e-08,8.014268360057031e-08,538.4188232421875
Keras,7.462738693675419e-08,6.159221754842292e-08,7.462738693675419e-08,494.2623596191406
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.6991692720912397e-05,9.595793017069809e-06,2.6991692720912397e-05,677.6976928710938
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.766505076579051e-06,2.332946223759791e-06,2.766505076579051e-06,530.3341674804688
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,3.059375785596785e-06,2.5311078388767783e-06,3.059375785596785e-06,747.2540893554688
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.782431238301797e-06,2.3322575088968733e-06,2.782431238301797e-06,504.51812744140625
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,4.25678172177868e-06,1.7833099263953045e-06,4.25678172177868e-06,9150.5556640625
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,6.58361045680067e-07,2.6196673275080684e-07,6.58361045680067e-07,579.240966796875
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.6527288355282508e-05,1.1848161193483975e-05,2.6527288355282508e-05,6402.06591796875
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.424115336907562e-05,9.596443305781577e-06,2.424115336907562e-05,100.0
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.500147638784256e-05,1.0350351658416912e-05,2.500147638784256e-05,10543.513671875
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,2.424115336907562e-05,9.596443305781577e-06,2.424115336907562e-05,100.0
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,9.848569249015782e-08,6.133448238188066e-08,9.848569249015782e-08,521.4931030273438
Keras,7.908427335223678e-08,6.714235212257336e-08,7.908427335223678e-08,157.77386474609375
QKeras,9.848569249015782e-08,6.133448238188066e-08,9.848569249015782e-08,521.4931030273438
hls4ml,,,8.845419983964677e-06,
