,Loss,MSLE,MSE,MAPE
Keras,0.0006740769604220986,6.080359889892861e-05,0.0006740769604220986,1.8468244075775146
Keras,0.0005910053732804954,5.045946454629302e-05,0.0005910053732804954,1.9662082195281982
Keras,0.00448715640231967,0.0002989619388245046,0.00448715640231967,2.62713360786438
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
QKeras,0.0007893830770626664,5.641717143589631e-05,0.0007893830770626664,2.4889676570892334
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
QKeras,0.0054963380098342896,0.0003218944475520402,0.0054963380098342896,8.134956359863281
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
QKeras,0.0009361442062072456,6.865266186650842e-05,0.0009361442062072456,2.7824759483337402
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
QKeras,0.0008972559007816017,8.079712279140949e-05,0.0008972559007816017,2.3587875366210938
Keras,0.0006698312354274094,5.834243347635493e-05,0.0006698312354274094,1.9478473663330078
QKeras,0.0007029224652796984,6.03597036388237e-05,0.0007029224652796984,2.218930721282959
